headline,sentiment
Flipkart to reportedly acquire eBay India,Neutral
"80% users under 35 years: Kavin Bharti Mittal, CEO, Hike",Neutral
"Apple unveils cheapest iPad yet, introduces red iPhones",Neutral
Finance ministry rejects Apple’s tax demands,Negative
Airtel hits back at Reliance Jio over network speed ad,Neutral
Snapdeal names Jason Kothari as new FreeCharge CEO,Neutral
PVR Cinemas and HP launches India's first virtual reality lounge,Neutral
StartUp Central: Shopclues management tussle,Neutral
StartUp Central: Amazon's big bet on sellers,Neutral
Ashish Pherwani talks about rise of digital media in India,Neutral
Exclusive with Airtel CEO Gopal Vittal,Positive
Paytm launches mobile payment services in Canada,Neutral
Wife ousted me from ShopClues: Sandeep Aggarwal,Neutral
TVF goes viral for wrong reason,Negative
RCom offers 1GB at Rs 49 to new 4G customers,Neutral
'The Bag Talk' makes its debut in marketplace,Neutral
Brigade REAP bets on startups,Neutral
"Alibaba enters Indian e-commerce, eyes Paytm marketplace",Neutral
Startup central: Startups that are hiring,Neutral
Reliance Jio rolls out prime membership plans,Neutral
SpaceX to send 1st paying tourists around moon next year,Neutral
Decoding Hyperloop One's India plans,Neutral
Optimistic about restarting Stayzilla in new biz model: Yogendra Vasupal,Positive
Paytm unveils online marketplace app 'Paytm Mall',Neutral
Bharti Airtel kills all national roaming charges,Negative
"Nokia re-introduces iconic Nokia 3310, unveils 3 new Android smartphones",Neutral
Flipkart to raise $1.5Bn from Microsoft and others,Neutral
Microsoft launches data-saving Skype Lite app,Neutral
H-1B visa row: I.T. leaders’ enroute to U.S.,Neutral
"Excited about cloud technology, artificial intelligence: Satya Nadella",Positive
Sundar Pichai writes letter to a 7-year old girl seeking job at Google,Neutral
Nokia 3310 is all set to make a comeback,Neutral
Netapp to launch startup ‘Accelerato’,Neutral
Alibaba deal to close soon: Paytm,Neutral
"Flipkart, Amazon and Snapdeal come together to oppose GST provision",Positive
Startup central: Is Tesla India bound?,Neutral
Startup central: Exclusive conversation with Freecharge CEO,Positive
Startup central: PayPal's India foray soon?,Neutral
Startup central: Ratan Tata eager to get back to startup world,Positive
Startup central: Ratan Tata flags off moon yatra !,Neutral
"RJio freebies: No violation of norms, will inform TDSAT, says TRAI chief",Negative
Hyperloop is ready to be built; awaiting regulatory approvals: Bipop Gresta,Positive
Alibaba plans formal India foray with fresh funding in Paytm,Positive
It's official: Apple will make iPhones at Bengaluru facility,Neutral
"Apple to get ‘Made in India’ tag, factory to be set up in Bengaluru",Neutral
Flipkart valuation slashed to $5.56 bn by investor Fidelity,Negative
Apple officials make presentation to govt on India plans,Neutral
Govt unlikely to agree to Apple's tax demands,Positive
StartUp Central: Startups on Chandra's elevation,Neutral
Optimistic about $20 bn target by 2020: Sikka,Positive
'Free-to-play mobile games picking up in India',Neutral
8 startups graduate out of Cisco LaunchPad's inaugural cohort,Neutral
2017 will be a defining year for Flipkart: Sachin Bansal,Neutral
Plans for India at par with global ambitions: Microsoft,Neutral
"Yahoo to be renamed Altaba, CEO Marissa Mayer to step down",Neutral
"Jio to connect hospitals, colleges, schools in Gujarat: Mukesh Ambani",Neutral
"Flipkart names Kalyan Krishnamurthy as new CEO, Binny Bansal to become group CEO",Neutral
Apple iPhone turns 10,Neutral
Drones a global market for startups: Dr Vijay Kumar,Neutral
Myntra claims 1.6 million orders in 3 day sale,Neutral
Nucleus Software launches PaySe in new form,Neutral
'Profits grow twice as fast for small businesses that go digital',Positive
Dedicated cloud region for India this year: Sundar Pichai,Positive
Google CEO Sundar Pichai in India,Neutral
Top apps across android and iOS in 2016,Positive
Airtel offers free 3GB data for new 4G customers,Positive
Defining deals of 2016,Neutral
How unicorns fared in 2016,Neutral
Exclusive with CloudCherry CEO Vinod Muthukrishnan,Positive
Decoding Flipkart's 2016 shopping trends,Neutral
"Cisco to set up cyber security centres, partners CERT-In",Positive
Budding star- Axtria: The data analytics startup,Neutral
"Paytm allows merchants to accept payments up to Rs 50,000",Positive
Will continue to invest aggressively in 2017: Amazon,Negative
Looking at growth opportunities in US: TCS CEO,Positive
CEO Shashank Dixit explains all about 'Deskera',Neutral
Apple's AirPods are here! Deliveries begin after delay,Negative
"PayTm alleges customers cheated it, CBI registers FIR",Negative
"MakeMyTrip, Ibibo merger: Awaiting final nod from CCI, says Deep Kalra",Neutral
Vodafone pushing digital wallets for cashless payments,Neutral
BookMyShow upgrades its app to ease user experience,Positive
Amazon launches Prime video services in India,Positive
Reliance Jio brings Pokemon GO to India,Neutral
Tonetag's Kumar Abhishek talks about payments through feature phones,Neutral
Internet must remain an open platform: Trai chief,Neutral
'Vodafone looking to raise around $1 bn by divesting tower assets',Positive
QTPI: Robotics now for children!,Neutral
Note ban saw a temporary dip in traffic: Shopclues,Negative
Co wants to become digital transaction leader: Paytm,Neutral
Bharti Airtel unveils free voice calling packs,Positive
Happiest Minds Ashok Soota shares startup mantra,Positive
India in talks to build Hyperloop,Neutral
Amazon unveils Launchpad programme in India,Positive
Infibeam Inc: Riding the e-comm wave,Neutral
Shopsup: The rewards based app,Positive
Myntra set to achieve profitability in FY18,Positive
Jio Money Merchant Solution to be launched on Dec 5,Positive
"Jio users to get free voice, data till March 31: Ambani",Positive
"Jio has grown faster than FB, Whatsapp in first 3 months: Mukesh Ambani",Neutral
Locus: Using AI to generate algorithms,Neutral
Digitisation and the threat it poses to IT jobs,Negative
'Demonetisation has been a positive for Paytm',Positive
Amicus Curiae: 'Changes in start-up funding norms to help create jobs',Positive
Freshdesk's plans after fund raise,Neutral
Inside Freshmenu’s kitchen: How food delivery app works?,Neutral
Paytm to re-launch app PoS,Neutral
Paytm launches app-based Point of Sale terminal for SMEs,Neutral
TRAI lowers ceiling tariff for USSD-based services,Negative
Gateway 91: Mentoring global startups in India,Neutral
Demonetisation move good for Indian economy: Quikr,Positive
'Demonetisation great step for Indian e-commerce market',Positive
Rajan Anandan decodes internet habits of Indians,Neutral
"Demonetisation ""very good"" but challenges exist: Sachin Bansal",Positive
NowFloats: Getting small businesses online,Neutral
Single's Day: Alibaba rakes $1 bn under 5 minutes,Neutral
"ET Money: Decoded, why millennials ditching crypto",Neutral
Sebi directs mutual funds to act against dubious Telegram channels,Negative
ET Money: Decoding mutual fund terminologies you must know,Neutral
Govt to hike Green Bond financing; targets to finance Rs 3 lakh cr of projects in 3-4 years: Sources,Neutral
Government planning micro insurance cos to increase penetration in the sector; to amend Insurance Act,Positive
ET Money Show: Impact of rising rates on your fixed deposits explained,Neutral
Non-food credit grows 4.9% in March 2021: RBI,Positive
Mutual funds are not banks and shouldn’t attempt to behave like one: SEBI Chairman,Positive
"SIP inflows fall below Rs 8,000-crore levels for first time in 18 months",Neutral
"Use all your entitlement; tax saved is money earned, says Dhirendra Kumar",Positive
"Flows into equity MFs drops 8.8% to Rs 6,026 cr in October: AMFI",Neutral
"Union Budget 2019: Here's key demands, expectations of Foreign Investors",Neutral
"Govt cuts interest rate on small savings schemes by 0.1 pc, effective July 1",Positive
India's fiscal deficit hits 52% of budgeted target in first 2 months of 2019/20,Negative
"Govt to get Rs 28,000 crore as interim dividend from RBI",Neutral
"RBI Governor Shaktikanta Das meets private banks' chiefs, discusses liquidity woes",Negative
Mention of section 7 was not needed: M Damodaran on RBI vs Govt,Neutral
"It's not that bad between Govt, RBI: DEA Secy Garg",Positive
"Buy or Sell: Children's Day special, plan a bright future for your child",Positive
Navneet Munot of SBI Mutual Fund on investing with a focus on sustainability,Neutral
'Govt determined to contain fiscal deficit at 3.3%; no excise cut on fuel',Negative
Raised DRT threshold will speed up NPA recovery: DFS Secy,Neutral
Amitabh Chaudhry named Axis Bank MD and CEO,Neutral
"Don't prepay home loan, rather, take a home loan-linked term plan: Dhirendra Kumar",Neutral
"RBI to transfer Rs 50,000 crore surplus to govt",Neutral
"IMF cuts India's growth projection, but it still retains world's top spot",Positive
"Fiscal pressures for states due to pay revision, farm loan waivers: RBI",Negative
RIL-JM Financial ARC to buy Alok Industries as lenders approve fresh bid,Positive
"After SBI, top lenders hike loan interest rates",Positive
"Watch: GST mop-up at Rs 94,016 crore in May",Neutral
Watch: Moody's slashes 2018 India growth forecast to 7.3%,Positive
"ICICI board has made its stand clear, bank will co-operate in investigation: Chanda Kochhar on Videocon loan row",Positive
Watch: ICICI board likely to meet tomorrow on Videocon loan,Neutral
"FinMin puts out list of 9,500 'high risk' NBFCs",Negative
RBI declines govt's demand for additional dividend: Report,Negative
Lloyd's of London finally sets up shop in India,Neutral
"Watch: Govt cuts additional borrowing target from Rs 50,000 cr to Rs 20,000 cr for this fiscal",Negative
India's trade deficit widens to $14.88 bn in December,Negative
Watch: IDFC Bank approves merger with capital first,Positive
"HDFC approves raising Rs11,100 cr via pref share issue",Positive
Investor's guide: Dhirender Kumar explains MF Utility,Neutral
"Watch: Govt seeks approval for additional 80,000cr for PSU bank recap",Positive
Govt to borrow additional Rs 50K cr via gilts in Jan-March,Neutral
Govt seeks Parliament nod for 2nd batch of supplementary grants demand,Positive
Govt likely to get lower FY18 dividend from PSBs,Negative
"October GST mop-up at Rs 83,346 cr till November 27: FinMin",Neutral
Cabinet approves 'some changes' to insolvency and bankruptcy code,Positive
"TCS, Rolls-Royce extend alliance to explore IoT opportunities",Positive
Confident to go past direct tax collection target of Rs 9.80 lakh crore: CBDT,Positive
India's Oct trade deficit widens to near 3-yr high of $14.02 bn,Negative
"A year on, top bankers laud DeMo move",Positive
IndusInd Bank board approves merger with Bharat Financial,Positive
"IMF lowers India's FY18 growth forecast over DeMo, GST",Positive
Govt sticks to H2 borrowing target of Rs 2.08 lakh cr,Neutral
"FinMin, RBI to decide on H2 borrowing calendar today",Neutral
Piramal Finance enters into housing finance segment,Neutral
"Vijaya, Dena Bank eye merger as PSB consolidation gathers pace: Sources to ET Now",Neutral
Govt may go for higher market borrowing; call likely in early Jan,Neutral
Investor’s Guide: Dhirendra Kumar shares advice for investment,Positive
Investor's Guide: Investing for an overseas trip,Neutral
Investors’ Guide: Managing your finances,Neutral
AIBEA opposes re-privatisation of banks,Neutral
Investor's Guide: Stock market outlook,Neutral
Investor's Guide: Expenses on mutual funds,Neutral
Personal Finance Corner: Dhirendra Kumar on IT funds,Neutral
Investor's Guide: Your investment strategy,Neutral
Investor's Guide: Kotak Select Focus fund,Neutral
Dhirendra Kumar’s view on small and mid-cap funds,Neutral
Investor's Guide: Planning your finances,Neutral
Investor’s guide: Advice for investors for FY 2017-18,Neutral
Buy now sell now: Ace investor talks to students,Neutral
Personal finance corner: Dhirendra Kumar answers your queries,Neutral
Dhirendra Kumar’s advice on last-minute tax planning,Neutral
Personal Finance Corner: Tax benefits of fixed maturity plans,Positive
Best tax saving funds for conservative and aggressive investors,Positive
Investor's Guide: Advice for home loan borrowers,Neutral
Personal finance corner: Dhirendra Kumar answers queries on tax saving funds,Neutral
Personal Finance Corner: Top tax saving funds,Positive
Dhirendra Kumar offers tips on tax saving,Neutral
Investors’ guide: Hidden charges by banks,Negative
Personal Finance Corner: Your mutual fund queries,Neutral
Personal Finance Corner: Harsh Roongta answers mutual fund queries,Negative
Dhirendra Kumar's investment mantra for women,Neutral
Investor's Guide: How to optimise your returns effectively,Positive
Investor's Guide: When should you book profits?,Positive
Tax trouble: No clarity on indirect transfer?,Negative
Personal Finance Corner: Your debt fund queries,Negative
Investor's guide: View on HDFC Prudence Fund,Neutral
Investor's guide: Advice post Union Budget 2017,Neutral
Answers to your portfolio queries by Dhirendra Kumar,Neutral
All about stocks: Answers to your investment queries,Neutral
Investor's Guide: Tax concession for individual taxpayers,Neutral
Investor’s guide: Budget 2017 special,Positive
Budget 2017: Impact on your personal income-tax,Neutral
The Budget Hotline: Clearing your personal finance queries,Neutral
Invest in MIP funds: Dhirendra Kumar,Neutral
Stay invested in the markets: Dhirendra Kumar,Neutral
Harsh Roongta answers your mutual fund queries,Negative
Tax relief in Budget: Harsh Roongta answer queries,Positive
Investor's Guide: Raamdeo's outlook on the market,Neutral
"SEBI allows MFs to invest in REITs, INVITs",Neutral
Mahindra AMC launches new rural scheme,Neutral
Top tax-saver funds for aggressive investors for 2017,Positive
Top balanced funds to invest in for 2017,Positive
Top equity small-cap funds to invest in for 2017,Positive
Top equity mid-cap funds to invest in for 2017,Positive
Top equity large-cap funds to invest in for 2017,Positive
Top income funds to invest in for 2017,Positive
Top equity multi-cap funds to invest in for 2017,Positive
Top tax-saver funds for conservative investors for 2017,Positive
Dhirendra Kumar shares his investment strategies for 2017,Positive
Top mutual funds that created wealth for domestic investors in 2016,Positive
Investor's Guide: Demonetisation impact on economy,Neutral
EPFO fixes 8.65% interest rate for PF deposits,Positive
Investor’s guide: Investment ideas post demonetisation,Neutral
"Post note ban, your queries on income tax answered",Negative
"Do not invest at one go: Dhirendra Kumar, Value Research",Positive
Investor's Guide: Reliance Growth fund,Positive
Investor's Guide: Dhirendra Kumar talks about impact of demonetisation on MF portfolios,Neutral
Crackdown on black money: Expert’s view on demonetization,Neutral
'May allow LIC to invest more than 15% in listed cos',Positive
How to deposit bulk cash? Harsh Roongta's advice,Negative
Investors' Guide: Answers to viewers' queries,Neutral
Investor's Guide: Birla Sun Life's small & mid cap funds,Neutral
"Investor's Guide: War on black money, fake currency",Negative
Rs 500 and Rs 1000 notes banned: How the move will impact you?,Negative
Denotified currency notes: How will it impact you?,Neutral
Buying a home: Dhirender Kumar answers queries,Neutral
Investors guide: L&T India Value Fund,Positive
Outlook for small-cap funds: Dhirender Kumar's views,Neutral
Gaurav Mashruwala explains Warren Buffett’s principles,Neutral
Investment strategies outside equity market,Neutral
Investor's guide: Diwali advice from Rashesh Shah,Neutral
Investment ideas for Samvat 2073,Neutral
Don’t move out before reaping benefits: Gaurav Mashruwala,Positive
What to do in a bull market: Gaurav Mashruwala's take,Neutral
All about Parag Parikh long term value fund,Positive
Investor's Guide: Dhirendra answers portfolio queries,Neutral
Dhirendra's view on top large-cap funds for 2016,Positive
Long-term returns: Gaurav Mashruwala's advice,Neutral
'Prime property in London down 20% since Brexit',Neutral
Investor’s guide: Advice on home and portfolio queries,Neutral
Investor’s guide: Dhirendra Kumar on Axis Equity Fund,Neutral
Investor’s guide: Advice on right portfolio,Neutral
Investor’s guide: Multi-cap funds for 2016,Neutral
Don’t panic during volatile markets: Dhirendra Kumar,Negative
Investor's guide: Reliance mid and small cap,Neutral
Investor's guide: Buying a home,Neutral
20-30s are golden years of savings: Gaurav Mashruwala,Neutral
Personal Finance Corner: Investing in equity,Neutral
Should you prepay your home loan? Dhirendra answers,Neutral
Investor's Guide: Reviewing the income growth portfolio,Positive
StartUp Central: Who invested what this week?,Neutral
Diversification is key: Gaurav Mashruwala explains,Neutral
The Smart Portfolio: HDFC's Prashant Jain,Positive
Gold has become a speculative investment: Dhirendra Kumar,Positive
"'Gain in mutual funds, shares notional not actual'",Positive
Investor's Guide: Birla Sun Life Equity Fund,Neutral
Investor's Guide: Saving for a home,Neutral
Active investors must invest in direct funds: Dhirendra Kumar,Positive
What is UPI?: Gaurav Mashruwala explains the mechanism,Neutral
High inventory leads to prices under pressure: JLL India,Negative
Investor’s Guide: Advice for retired investors,Neutral
Gaurv Mashruwala's take on 7th Pay Commission,Negative
Investor's Guide: Investment for 30-year-olds,Neutral
The right place to invest? Srinivas Pulavarti’s view,Neutral
Wealth creation ideas: KEC International,Positive
"Want to make SIP day popular: Nilesh Shah, Kotak AMC",Positive
Investor’s Guide: Basic principles of aggressive portfolio,Negative
"Sundaram S.M.I.L.E Fund: Stellar past, shaky present",Negative
Safe to invest in equity MF than PPF: Dhirendra Kumar,Positive
Personal Finance Corner: Tax benefits on property,Positive
Personal Finance Corner: UTI Opportunities Fund,Positive
Scripbox: Making MF investing easier,Positive
Personal Finance Corner: Investing in sovereign gold bonds,Neutral
Personal Finance Corner: Dhirender Kumar on tech funds,Neutral
Investor’s Guide: Tax queries,Neutral
Investor’s Guide: Growth portfolio,Positive
Investor’s Guide: HDFC Top 200 fund,Positive
Personal Finance Corner: How to invest in debt?,Negative
Top rated funds by Value Research CEO Dhirendra Kumar,Positive
Personal Finance Corner: Risks involved in investment,Negative
MF review: Quantum Long Term Equity Fund,Neutral
Investor's Guide: Advice for investments,Neutral
Personal Finance Corner: Dhirendra Kr on Infra funds,Neutral
EPFO looks to invest beyond 5 per cent in equity,Neutral
Personal Finance Corner: Sovereign gold bonds vs ETFs,Neutral
"Buy now, sell now: Wealth creation ideas",Positive
Investor's guide: Managing mutual funds,Neutral
Personal finance corner: Small cap rally to stay?,Neutral
Investor's Guide: In talks with A Balasubramanian,Neutral
Investor's Guide: 7th anniversary special,Positive
HSBC Personal Economy Summit: Transforming passion into success,Positive
The Urban Debate: Women's right to property,Neutral
Investor’s guide: Celebrating 7 years of success,Positive
"The smart investor:
Azim Premji",Positive
Investor’s guide: Answers to income tax queries,Neutral
Investor’s guide: Hold or sell?,Neutral
Investor’s guide: IDFC Premier Equity Fund,Neutral
Investor’s Guide: Your investment strategy,Neutral
Investor's Guide: In talks with Nilesh Shah,Neutral
Investor's Guide: Viewers' tax queries answered,Neutral
Investor's Guide: Tata Retirement Savings Fund,Neutral
Investor's Guide: Portfolio vs portfolio,Neutral
Personal Finance Corner: NPS as tax saving instrument,Neutral
Investor's Guide: In conversation with Leo Puri,Neutral
Know all about arbitrage funds with Dhirendra Kumar,Neutral
"Beat the heat in Mumbai, this weekend!",Neutral
Reviewing a mutual fund portfolio: Hold or sell,Neutral
Fund review: Franklin India High Growth Companies Fund,Positive
Personal Finance Corner: Dhirendra Kumar talks about 'International Funds',Neutral
'Investment in global financials has become trickier',Negative
'Goldman Sachs CPSE ETF meant for tactical investor',Neutral
Investor's Guide: Dhirendra on PF withdrawal norms,Neutral
"Buy now, sell now: Answers to your queries",Neutral
"Muthoot
Capital looks to increase loan book to 2500cr",Positive
The Urban Debate: In conversation with Ashish Raheja,Neutral
Investor's guide: Finding good investment option,Positive
Personal Finance Corner: Dhirendra Kr talks about 'Riders',Neutral
Personal finance corner: SEBI to simplify MFs,Neutral
"Investors
guide: All about your investment strategy",Neutral
Investor's Guide: Dhirendra recommends 'hold or sell',Positive
